Model,Accuracy,Latency
mobilenetv2_x0_5,93.14,37.05
mobilenetv2_x0_75,94.08,37.24
mobilenetv2_x1_0,93.94,36.74
mobilenetv2_x1_4,94.24,37.28
repvgg_a0,94.32,41.06
repvgg_a1,95.5,42.77
repvgg_a2,95.22,43.98
resnet20,92.68,17.45
resnet32,93.7,26.64
resnet44,93.92,33.15
resnet56,94.26,44.26
shufflenetv2_x0_5,90.6,44.63
shufflenetv2_x1_0,93.74,46.28
shufflenetv2_x1_5,93.7,45.31
shufflenetv2_x2_0,93.68,47.42
vgg11_bn,93.22,11.07
vgg13_bn,93.72,12.83
vgg16_bn,93.92,15.14
vgg19_bn,94.3,18.17
vit_small_patch16_384,98.02,35.86
vit_base_patch16_384,98.32,36.27
vit_large_patch16_384,98.38,67.79
